"game_ID","home_team","away_team","game_date"
1037941,"Cleveland Cavaliers","Houston Rockets",2023-12-18
1037942,"Indiana Pacers","LA Clippers",2023-12-18
1037943,"Philadelphia 76ers","Chicago Bulls",2023-12-18
1037947,"Oklahoma City Thunder","Memphis Grizzlies",2023-12-18
1037948,"Denver Nuggets","Dallas Mavericks",2023-12-18
1037946,"Toronto Raptors","Charlotte Hornets",2023-12-18
1037944,"Atlanta Hawks","Detroit Pistons",2023-12-18
1037949,"Utah Jazz","Brooklyn Nets",2023-12-18
1037950,"Sacramento Kings","Washington Wizards",2023-12-18
1037951,"Los Angeles Lakers","New York Knicks",2023-12-18
1037945,"Miami Heat","Minnesota Timberwolves",2023-12-18
1037955,"Portland Trail Blazers","Phoenix Suns",2023-12-19
1037954,"Golden State Warriors","Boston Celtics",2023-12-19
1037953,"Milwaukee Bucks","San Antonio Spurs",2023-12-19
1037952,"New Orleans Pelicans","Memphis Grizzlies",2023-12-19
1037965,"Sacramento Kings","Boston Celtics",2023-12-20
1037956,"Cleveland Cavaliers","Utah Jazz",2023-12-20
1037957,"Indiana Pacers","Charlotte Hornets",2023-12-20
1037958,"Orlando Magic","Miami Heat",2023-12-20
1037959,"Philadelphia 76ers","Minnesota Timberwolves",2023-12-20
1037960,"Brooklyn Nets","New York Knicks",2023-12-20
1037961,"Toronto Raptors","Denver Nuggets",2023-12-20
1037963,"Houston Rockets","Atlanta Hawks",2023-12-20
1037962,"Chicago Bulls","Los Angeles Lakers",2023-12-20
1037964,"Dallas Mavericks","LA Clippers",2023-12-20
1037967,"Cleveland Cavaliers","New Orleans Pelicans",2023-12-21
1037969,"Memphis Grizzlies","Indiana Pacers",2023-12-21
1037970,"Milwaukee Bucks","Orlando Magic",2023-12-21
1037971,"Oklahoma City Thunder","LA Clippers",2023-12-21
1037972,"Minnesota Timberwolves","Los Angeles Lakers",2023-12-21
1037973,"Portland Trail Blazers","Washington Wizards",2023-12-21
1037966,"Detroit Pistons","Utah Jazz",2023-12-21
1037968,"Chicago Bulls","San Antonio Spurs",2023-12-21
1037977,"Houston Rockets","Dallas Mavericks",2023-12-22
1037974,"Philadelphia 76ers","Toronto Raptors",2023-12-22
1037975,"Brooklyn Nets","Denver Nuggets",2023-12-22
1037978,"Golden State Warriors","Washington Wizards",2023-12-22
1037976,"Miami Heat","Atlanta Hawks",2023-12-22
1037979,"Sacramento Kings","Phoenix Suns",2023-12-22
1037982,"Charlotte Hornets","Denver Nuggets",2023-12-23
1037983,"Indiana Pacers","Orlando Magic",2023-12-23
1037984,"New Orleans Pelicans","Houston Rockets",2023-12-23
1037985,"Atlanta Hawks","Memphis Grizzlies",2023-12-23
1037986,"Brooklyn Nets","Detroit Pistons",2023-12-23
1037987,"Toronto Raptors","Utah Jazz",2023-12-23
1037988,"Chicago Bulls","Cleveland Cavaliers",2023-12-23
1037989,"Oklahoma City Thunder","Los Angeles Lakers",2023-12-23
1037990,"Dallas Mavericks","San Antonio Spurs",2023-12-23
1037991,"Golden State Warriors","Portland Trail Blazers",2023-12-23
1037992,"Sacramento Kings","Minnesota Timberwolves",2023-12-23
1037981,"LA Clippers","Boston Celtics",2023-12-23
1037980,"New York Knicks","Milwaukee Bucks",2023-12-23
1037997,"Phoenix Suns","Dallas Mavericks",2023-12-25
1037993,"New York Knicks","Milwaukee Bucks",2023-12-25
1037994,"Denver Nuggets","Golden State Warriors",2023-12-25
1037995,"Los Angeles Lakers","Boston Celtics",2023-12-25
1037996,"Miami Heat","Philadelphia 76ers",2023-12-25
1038000,"Chicago Bulls","Atlanta Hawks",2023-12-26
1037998,"Detroit Pistons","Brooklyn Nets",2023-12-26
1037999,"Washington Wizards","Orlando Magic",2023-12-26
1038001,"Houston Rockets","Indiana Pacers",2023-12-26
1038002,"New Orleans Pelicans","Memphis Grizzlies",2023-12-26
1038003,"Oklahoma City Thunder","Minnesota Timberwolves",2023-12-26
1038004,"San Antonio Spurs","Utah Jazz",2023-12-26
1038005,"Portland Trail Blazers","Sacramento Kings",2023-12-26
1038006,"LA Clippers","Charlotte Hornets",2023-12-26
1038010,"Houston Rockets","Phoenix Suns",2023-12-27
1038011,"Oklahoma City Thunder","New York Knicks",2023-12-27
1038012,"Dallas Mavericks","Cleveland Cavaliers",2023-12-27
