"game_ID","away_team","home_team","game_times"
"137a5e118d31da8ef1f257761c474381","LA Clippers","San Antonio Spurs","2023-11-22"
"13773e2d0e8486673d2ee635767caf0d","Golden State Warriors","Phoenix Suns","2023-11-22"
"804568a12cc001c7d5a805311f823ccc","Utah Jazz","Portland Trail Blazers","2023-11-22"
"8cdaef39a6d50944adfa4d7d68dbd1c1","Dallas Mavericks","Los Angeles Lakers","2023-11-22"
"28642e41e758968c8581ffc7985c0e9b","Boston Celtics","Orlando Magic","2023-11-24"
"61d9b427f4cb899b11dc029ea9ac90ea","Phoenix Suns","Memphis Grizzlies","2023-11-24"
"7abd60c2aebc19856519252da4886520","Miami Heat","New York Knicks","2023-11-24"
"37bf8cfb63f72d3003ee37f51c8b0364","Chicago Bulls","Toronto Raptors","2023-11-24"
"525a477e61e1f05e2799a86eb9121788","Detroit Pistons","Indiana Pacers","2023-11-24"
"2e741387a5142c5053ebba6b57c75dd7","Denver Nuggets","Houston Rockets","2023-11-24"
"7040d920aa6865ba83d21bcf171d225f","Washington Wizards","Milwaukee Bucks","2023-11-24"
"429129feeebad4a4463b7c1364433054","Sacramento Kings","Minnesota Timberwolves","2023-11-24"
"ec8f815c9337071da30df92591d5380c","San Antonio Spurs","Golden State Warriors","2023-11-24"
"b6d2e0f9f83139a123cc9a5605e20d24","New Orleans Pelicans","LA Clippers","2023-11-24"
"82a3104257e1d8c3274f69b3cc99e510","Philadelphia 76ers","Oklahoma City Thunder","2023-11-25"
"126bfb3db72e13cd27495fd0e4effe76","Miami Heat","Brooklyn Nets","2023-11-25"
"7db4aed91373920e86d3fdcc19d5ecfe","Atlanta Hawks","Washington Wizards","2023-11-25"
"fd6347c35534674c4c70a8c51be6796d","Los Angeles Lakers","Cleveland Cavaliers","2023-11-25"
"160e0c3fbcf99696fece1799bb442cbc","New Orleans Pelicans","Utah Jazz","2023-11-25"
"fe203a161c58ea4a7655f5f569e2ba75","Dallas Mavericks","LA Clippers","2023-11-25"
"82329ee276c89e6916dd905a181e4648","Portland Trail Blazers","Milwaukee Bucks","2023-11-26"
"07b37a253805787c50c700c116f28bee","Atlanta Hawks","Boston Celtics","2023-11-26"
"fe71538c471b75908cca4a780b876140","Phoenix Suns","New York Knicks","2023-11-26"
"2a67246308b8b97ce1a8c524c44cd223","Charlotte Hornets","Orlando Magic","2023-11-26"
"5431b2939a004ef6bbfc92a03ef53ae4","Minnesota Timberwolves","Memphis Grizzlies","2023-11-26"
"5b18c0b0b0d1669b7c4aee9aa5a2edba","Chicago Bulls","Brooklyn Nets","2023-11-26"
"206c495ba01c51a6bea7a778aa6287c8","Toronto Raptors","Cleveland Cavaliers","2023-11-26"
"37bf84b93c8cfd7f3866940887980ff1","San Antonio Spurs","Denver Nuggets","2023-11-26"
"37180af8d87aafaf48c872e2f972feea","Washington Wizards","Detroit Pistons","2023-11-27"
"a79ba072ea163e101129c410e5bb3b7e","Portland Trail Blazers","Indiana Pacers","2023-11-27"
"59b4ec4109b7d0ce31f68cbc8dfe4359","Los Angeles Lakers","Philadelphia 76ers","2023-11-27"
"5f533292ed042ae129852f545d8046b5","New Orleans Pelicans","Utah Jazz","2023-11-27"
"beb0ba03d52c53c28b196fbcfb93b355","Denver Nuggets","LA Clippers","2023-11-27"
"c3b8f5ba423775fccaab645b1f0d0a1a","Chicago Bulls","Boston Celtics","2023-11-28"
"7560c4a7a4f4f6a27f3bccc857f18f47","Toronto Raptors","Brooklyn Nets","2023-11-28"
"b4982d0f15a3e56fd5e443adc5504704","Atlanta Hawks","Cleveland Cavaliers","2023-11-28"
"d930e4be30a15bf0248c93f3e1ccd9c6","Milwaukee Bucks","Miami Heat","2023-11-28"
"44389bc744e9faab4cac2017c771ad91","Charlotte Hornets","New York Knicks","2023-11-28"
"9e84daa7eb41ca4863b5f0beb18929a6","Oklahoma City Thunder","Minnesota Timberwolves","2023-11-28"
"ecd5bcffdc2e235402b32ebc19d2721e","Houston Rockets","Dallas Mavericks","2023-11-28"
"8ae3da790922a6c04fdf93b042d97c0f","Golden State Warriors","Sacramento Kings","2023-11-28"
"63e8ba467521705981f97c629d2093dc","Los Angeles Lakers","Detroit Pistons","2023-11-29"
